iter	MultiClass
0	2.537294696
1	2.387523508
2	2.2849538
3	2.20758307
4	2.140825869
5	2.08695876
6	2.04236117
7	2.004513666
8	1.97293486
9	1.944214244
10	1.916461393
11	1.896762248
12	1.878181109
13	1.859755666
14	1.845527886
15	1.830348231
16	1.818535527
17	1.809766762
18	1.797003302
19	1.786886035
20	1.77972288
21	1.772044728
22	1.764807269
23	1.757827867
24	1.751749553
25	1.7456458
26	1.738897815
27	1.733499769
28	1.729254474
29	1.724540641
30	1.720242335
31	1.716906705
32	1.713520205
33	1.70875045
34	1.705567693
35	1.703339888
36	1.699896988
37	1.696347406
38	1.694465899
39	1.689888972
40	1.687867726
41	1.686175198
42	1.683939625
43	1.681965981
44	1.680210804
45	1.677468964
46	1.674705071
47	1.672009136
48	1.670105732
49	1.669138064
50	1.667642656
51	1.666078044
52	1.663759419
53	1.661768989
54	1.65953154
55	1.658393113
56	1.656342738
57	1.655135583
58	1.653665947
59	1.651623114
60	1.649658067
61	1.64843497
62	1.646422396
63	1.645060143
64	1.643880065
65	1.642557364
66	1.640815219
67	1.639844282
68	1.638590891
69	1.637887842
70	1.63626479
71	1.634715003
72	1.633709684
73	1.632161049
74	1.630877578
75	1.629919319
76	1.629267306
77	1.628221309
78	1.626842749
79	1.625864154
80	1.624200066
81	1.623312566
82	1.622482076
83	1.62136041
84	1.620490769
85	1.619628126
86	1.618943211
87	1.617630216
88	1.616742044
89	1.615476328
90	1.614533504
91	1.613728997
92	1.61247438
93	1.611770954
94	1.611114909
95	1.609995481
96	1.60851338
97	1.607683818
98	1.60695358
99	1.606198877
100	1.605166593
101	1.604160069
102	1.603117388
103	1.602224434
104	1.601450187
105	1.600931507
106	1.600205845
107	1.599352083
108	1.598275076
109	1.597507354
110	1.596745668
111	1.595947848
112	1.594936274
113	1.594125524
114	1.593483025
115	1.59269687
116	1.591787914
117	1.590701995
118	1.590132553
119	1.589058709
120	1.588616104
121	1.587576261
122	1.586626797
123	1.585398625
124	1.584589925
125	1.583870186
126	1.58305771
127	1.582248456
128	1.581641871
129	1.580989483
130	1.580339874
131	1.579508779
132	1.578920009
133	1.578118731
134	1.57754418
135	1.576756203
136	1.576080783
137	1.575246999
138	1.574340089
139	1.573500302
140	1.57251856
141	1.571656589
142	1.570975486
143	1.570064368
144	1.569432387
145	1.56898657
146	1.568259338
147	1.567557166
148	1.567056373
149	1.566424585
150	1.565696663
151	1.564901794
152	1.564233535
153	1.563298707
154	1.562764276
155	1.562139201
156	1.561782323
157	1.561032371
158	1.560042851
159	1.559727166
160	1.559262272
161	1.558755763
162	1.55806684
163	1.557614713
164	1.556943613
165	1.556344828
166	1.556002504
167	1.555290973
168	1.554683114
169	1.554247894
170	1.55353339
171	1.553064636
172	1.552490802
173	1.551997699
174	1.551415994
175	1.550933706
176	1.550185445
177	1.549851329
178	1.549277208
179	1.548823758
180	1.548366905
181	1.547770339
182	1.547125304
183	1.546498641
184	1.54582792
185	1.545320838
186	1.544857417
187	1.544177378
188	1.543694723
189	1.543319275
190	1.54262229
191	1.542339722
192	1.54193417
193	1.541391488
194	1.540854177
195	1.540479054
196	1.539912197
197	1.539469337
198	1.53889203
199	1.538423732
200	1.537961907
201	1.537535577
202	1.537029934
203	1.53644617
204	1.535970195
205	1.535198593
206	1.534598421
207	1.534050609
208	1.533644246
209	1.53288541
210	1.532386359
211	1.531864296
212	1.531412423
213	1.530960646
214	1.530556595
215	1.529873268
216	1.529452318
217	1.528848905
218	1.528597692
219	1.528302073
220	1.527775833
221	1.527127795
222	1.526541755
223	1.526107698
224	1.525579933
225	1.525226637
226	1.524898707
227	1.524687384
228	1.524137566
229	1.523985278
230	1.523590126
231	1.52301593
232	1.52251734
233	1.522164725
234	1.521787476
235	1.521350607
236	1.520848058
237	1.5205192
238	1.520181519
239	1.519784711
240	1.519430766
241	1.519124768
242	1.518700376
243	1.518175748
244	1.517790429
245	1.517415915
246	1.516987852
247	1.516563034
248	1.516169886
249	1.515701245
250	1.515268471
251	1.514854536
252	1.514422054
253	1.514217629
254	1.513879907
255	1.513581164
256	1.513227894
257	1.512592412
258	1.512332814
259	1.511885075
260	1.511515556
261	1.511205841
262	1.510680554
263	1.51024982
264	1.509898283
265	1.509298639
266	1.509114801
267	1.508800468
268	1.508334416
269	1.507781886
270	1.507269087
271	1.506875243
272	1.506666199
273	1.506363519
274	1.50597145
275	1.505654198
276	1.505315272
277	1.505044488
278	1.504520329
279	1.504047573
280	1.503773099
281	1.503409535
282	1.502969367
283	1.502456603
284	1.502034891
285	1.501398886
286	1.500982433
287	1.500656214
288	1.500230652
289	1.499716324
290	1.499284632
291	1.498946293
292	1.498333536
293	1.498057457
294	1.497667349
295	1.497112249
296	1.496791764
297	1.496409159
298	1.495734007
299	1.495260765
300	1.494955882
301	1.494726908
302	1.49439744
303	1.493973976
304	1.493597176
305	1.493256279
306	1.492879558
307	1.4925793
308	1.492231605
309	1.49184975
310	1.491591722
311	1.49129185
312	1.490968728
313	1.490633596
314	1.490490254
315	1.490141362
316	1.489499025
317	1.489205289
318	1.488563077
319	1.488195732
320	1.487884149
321	1.487705746
322	1.487203015
323	1.48699778
324	1.486396819
325	1.486061602
326	1.485745401
327	1.485189559
328	1.484703922
329	1.484283766
