iter	Passed	Remaining
0	30	30214
1	56	28007
2	79	26318
3	100	25026
4	120	23979
5	139	23147
6	158	22466
7	178	22172
8	198	21874
9	218	21631
10	240	21603
11	261	21556
12	281	21383
13	301	21264
14	321	21119
15	341	21017
16	361	20920
17	381	20815
18	401	20720
19	421	20636
20	440	20523
21	459	20425
22	479	20384
23	500	20349
24	520	20284
25	539	20212
26	560	20193
27	580	20158
28	600	20095
29	620	20062
30	640	20013
31	659	19959
32	679	19911
33	699	19860
34	718	19817
35	738	19771
36	758	19743
37	778	19715
38	798	19674
39	818	19636
40	838	19622
41	858	19572
42	877	19538
43	897	19507
44	917	19477
45	938	19455
46	958	19438
47	979	19420
48	998	19382
49	1018	19359
50	1038	19328
51	1059	19310
52	1078	19276
53	1098	19241
54	1118	19220
55	1138	19188
56	1158	19172
57	1178	19140
58	1198	19107
59	1218	19088
60	1238	19066
61	1258	19039
62	1278	19014
63	1298	18986
64	1318	18971
65	1338	18939
66	1358	18916
67	1377	18882
68	1397	18852
69	1417	18834
70	1437	18806
71	1457	18783
72	1477	18759
73	1497	18734
74	1517	18715
75	1536	18685
76	1557	18669
77	1577	18648
78	1597	18621
79	1618	18608
80	1637	18581
81	1657	18556
82	1677	18529
83	1697	18510
84	1717	18487
85	1736	18459
86	1756	18435
87	1776	18410
88	1796	18387
89	1816	18363
90	1836	18343
91	1856	18327
92	1877	18307
93	1897	18290
94	1917	18269
95	1937	18248
96	1957	18221
97	1977	18202
98	1999	18200
99	2024	18221
100	2047	18226
101	2069	18223
102	2091	18212
103	2112	18198
104	2133	18182
105	2153	18164
106	2174	18148
107	2196	18140
108	2217	18124
109	2238	18108
110	2258	18088
111	2278	18067
112	2299	18048
113	2320	18033
114	2340	18013
115	2361	17998
116	2381	17974
117	2404	17969
118	2532	18748
119	2586	18965
120	2608	18949
121	2632	18945
122	2652	18916
123	2673	18887
124	2694	18858
125	2715	18837
126	2735	18806
127	2756	18778
128	2776	18746
129	2796	18716
130	2817	18691
131	2837	18657
132	2857	18630
133	2878	18600
134	2899	18576
135	2918	18543
136	2938	18513
137	2958	18481
138	2979	18454
139	3000	18430
140	3020	18400
141	3040	18374
142	3060	18343
143	3081	18316
144	3199	18865
145	3234	18917
146	3258	18911
147	3281	18890
148	3302	18859
149	3322	18825
150	3343	18796
151	3363	18767
152	3385	18743
153	3406	18711
154	3426	18682
155	3449	18664
156	3471	18638
157	3494	18621
158	3515	18593
159	3536	18565
160	3556	18535
161	3578	18511
162	3599	18481
163	3619	18453
164	3640	18422
165	3662	18400
166	3683	18372
167	3703	18342
168	3724	18313
169	3745	18285
170	3765	18255
171	3785	18225
172	3806	18195
173	3827	18170
174	3848	18141
175	3868	18112
176	3889	18083
177	3910	18057
178	3930	18029
179	3950	17998
180	3970	17968
181	3991	17938
182	4011	17909
183	4031	17878
184	4050	17844
185	4070	17815
186	4090	17785
187	4111	17758
188	4131	17728
189	4151	17699
190	4171	17669
191	4192	17643
192	4212	17612
193	4231	17580
194	4250	17548
195	4270	17517
196	4291	17491
197	4311	17462
198	4330	17431
199	4350	17401
200	4369	17370
201	4388	17338
202	4408	17309
203	4428	17278
204	4447	17247
205	4467	17220
206	4487	17191
207	4508	17166
208	4528	17138
209	4548	17109
210	4568	17085
211	4588	17056
212	4608	17027
213	4628	16998
214	4647	16968
215	4666	16938
216	4686	16909
217	4706	16881
218	4727	16857
219	4747	16833
220	4769	16810
221	4788	16782
222	4808	16754
223	4828	16727
224	4847	16697
225	4867	16669
226	4887	16643
227	4908	16621
228	4929	16597
229	4950	16573
230	4972	16553
231	4993	16529
232	5016	16512
233	5036	16488
234	5058	16468
235	5079	16444
236	5100	16422
237	5121	16396
238	5140	16369
239	5161	16343
240	5181	16318
241	5201	16292
242	5222	16268
243	5241	16240
244	5261	16214
245	5281	16187
246	5302	16164
247	5322	16138
248	5349	16135
249	5371	16114
250	5392	16090
251	5413	16068
252	5434	16045
253	5455	16023
254	5476	16000
255	5496	15974
256	5517	15950
257	5538	15927
258	5560	15907
259	5581	15885
260	5601	15861
261	5622	15836
262	5649	15830
263	5680	15836
264	5701	15812
265	5721	15789
266	5742	15766
267	5763	15741
268	5784	15718
269	5805	15695
270	5826	15672
271	5846	15647
272	5867	15624
273	5888	15601
274	5909	15578
275	5930	15557
276	5951	15533
277	5972	15510
278	5993	15488
279	6014	15464
280	6035	15441
281	6055	15418
282	6078	15399
283	6101	15382
284	6125	15367
285	6149	15351
286	6173	15336
287	6194	15315
288	6217	15295
289	6239	15275
290	6259	15250
291	6279	15225
292	6300	15202
293	6320	15178
294	6341	15154
295	6362	15132
296	6382	15107
297	6403	15084
298	6425	15063
299	6446	15042
300	6467	15018
301	6488	14995
302	6508	14972
303	6529	14948
304	6549	14925
305	6570	14901
306	6589	14875
307	6611	14853
308	6632	14831
309	6652	14806
310	6672	14783
311	6692	14758
312	6713	14734
313	6732	14708
314	6751	14682
315	6771	14657
316	6791	14632
317	6812	14609
318	6831	14584
319	6852	14561
320	6872	14536
321	6892	14511
322	6913	14491
323	6934	14468
324	6955	14446
325	6975	14421
326	6994	14395
327	7014	14370
328	7033	14345
329	7053	14320
